,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
567,226155,2016,31,21,1.14,4,2,-,4,12,6,-,-,-,347',1.386'
568,56676,2016,39,30,1.43,2,-,-,6,10,6,-,-,-,1.034',2.067'
569,139607,2016,41,41,1.71,7,8,-,5,23,12,-,-,1,422',2.956'
570,174835,2016,14,4,2.50,-,-,-,1,3,-,-,-,-,-,225'
571,226138,2016,33,31,1.16,2,6,-,2,9,10,-,-,-,1.234',2.467'
572,323934,2016,42,20,1.85,-,6,-,6,3,-,-,-,-,-,1.400'
573,408958,2016,38,30,1.57,2,2,-,2,13,2,-,-,-,1.178',2.355'
574,75131,2016,60,59,1.53,9,8,-,1,9,15,1,1,-,561',5.048'
575,111828,2016,36,35,1.46,4,5,-,-,2,11,-,1,-,764',3.055'
576,29091,2016,50,49,1.53,11,6,-,6,10,12,-,-,4,363',3.990'
577,52929,2016,27,16,1.06,-,-,-,3,6,4,-,-,-,-,1.012'
578,124546,2016,18,8,1.63,-,-,-,4,3,3,-,-,-,-,424'
579,272554,2016,37,33,1.52,4,6,-,14,16,4,-,-,-,378',1.512'
580,65162,2016,77,55,1.67,-,1,-,7,11,10,-,-,-,-,4.171'
581,127528,2016,68,59,1.59,7,2,-,11,25,10,-,-,-,575',4.023'
582,144752,2016,47,45,1.44,9,6,-,8,14,5,-,-,5,362',3.258'
583,435186,2016,59,49,2.00,6,1,-,5,7,10,2,-,-,646',3.875'
584,137726,2016,35,34,1.38,4,1,-,1,5,9,1,-,-,731',2.925'
585,106041,2016,31,30,2.23,15,15,-,5,12,4,-,-,1,154',2.303'
586,435488,2016,32,28,1.64,1,3,-,5,7,3,-,-,-,2.093',2.093'
587,27410,2016,44,40,1.13,16,6,-,1,10,7,-,-,1,214',3.422'
588,333159,2016,47,46,1.33,4,-,-,1,7,9,1,-,-,973',3.892'
589,61296,2016,13,13,1.00,5,3,-,1,2,-,-,-,1,215',1.077'
590,253734,2016,8,8,1.63,-,1,-,2,3,-,-,-,-,-,537'
591,76090,2016,56,52,1.02,5,1,-,4,6,10,1,-,3,868',4.341'
592,435331,2016,28,22,1.59,1,1,-,2,9,6,-,-,-,1.640',1.640'
593,81509,2016,37,36,1.39,6,12,-,4,20,6,1,-,-,457',2.739'
594,99516,2016,34,25,1.16,1,3,-,5,8,4,-,-,-,1.759',1.759'
595,128823,2016,48,43,1.35,2,2,-,1,10,10,1,1,-,1.771',3.541'
596,148682,2016,36,31,1.16,3,2,-,4,14,6,-,-,-,750',2.251'
597,198859,2016,28,20,1.85,-,1,-,4,3,4,-,-,-,-,1.474'
598,378975,2016,37,31,1.13,1,1,2,3,8,8,1,-,-,2.312',2.312'
599,16876,2016,46,32,1.47,1,1,-,14,10,4,-,-,-,1.763',1.763'
600,76135,2016,45,30,1.07,2,4,-,9,13,5,-,-,-,928',1.855'
601,210548,2016,21,14,1.93,1,-,-,3,2,4,-,-,-,983',983'
602,259460,2016,45,36,1.08,4,3,-,7,12,3,-,-,-,646',2.585'
603,390370,2016,27,18,1.61,-,4,-,7,8,5,-,-,-,-,936'
604,125558,2016,36,34,1.68,-,-,-,3,9,6,-,1,-,-,2.641'
605,66895,2016,46,42,1.36,1,1,-,14,8,1,-,1,-,2.744',2.744'
606,72939,2016,19,7,2.14,-,-,-,3,2,-,-,-,-,-,366'
607,82502,2016,38,38,1.42,2,8,-,5,19,5,1,-,-,1.341',2.682'
608,99903,2016,29,29,1.34,-,1,-,-,1,1,-,-,-,-,2.600'
609,107012,2016,3,3,,-,-,-,-,-,-,-,-,-,-,270'
610,111667,2016,31,25,1.68,2,-,-,12,5,4,-,-,1,653',1.306'
611,176997,2016,33,29,1.31,1,1,-,5,11,4,-,-,-,2.011',2.011'
612,225408,2016,7,6,1.50,-,-,-,-,4,1,-,-,-,-,455'
613,234756,2016,35,35,2.26,9,11,-,-,-,4,-,1,2,350',3.150'
614,38445,2016,13,11,1.00,2,-,-,3,7,4,-,-,-,315',629'
615,42764,2016,24,24,1.13,6,3,-,5,11,5,-,-,1,279',1.673'
616,55382,2016,11,5,1.60,-,-,-,-,2,-,-,-,-,-,360'
617,67967,2016,18,7,0.86,-,-,-,1,2,1,-,-,-,-,458'
618,159655,2016,20,19,1.32,5,4,-,-,14,1,-,-,-,281',1.407'
619,225686,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,228206,2016,12,9,2.00,-,-,-,6,1,1,-,-,-,-,352'
621,271329,2016,24,20,0.90,-,-,-,4,6,5,1,-,-,-,1.417'
622,446408,2016,51,23,1.83,-,-,-,4,7,7,-,-,-,-,1.512'
623,148135,2016,57,13,2.46,-,2,-,7,1,1,-,-,-,-,653'
624,220722,2016,36,33,1.21,1,2,-,5,7,5,-,-,-,2.558',2.558'
625,124701,2016,8,2,1.00,-,-,-,-,2,-,-,-,-,-,139'
626,155351,2016,29,23,1.35,-,1,-,11,8,3,-,-,-,-,1.067'
627,216259,2016,18,18,2.11,4,-,-,-,5,1,-,-,-,387',1.549'
628,30946,2016,45,34,1.74,6,5,-,4,21,6,-,-,-,420',2.518'
629,53757,2016,45,24,1.71,1,3,-,10,10,3,-,-,-,1.275',1.275'
630,102238,2016,43,31,1.10,-,-,-,14,5,5,-,-,-,-,1.728'
631,151505,2016,16,16,1.75,-,-,-,-,-,3,-,-,-,-,1.440'
632,349443,2016,33,29,1.21,5,1,-,2,1,4,1,-,-,477',2.387'
633,20405,2016,45,28,1.36,-,2,-,14,13,6,-,-,-,-,1.197'
634,52853,2016,11,8,1.13,1,-,-,1,3,3,-,-,-,581',581'
635,53788,2016,22,19,1.95,-,-,-,1,5,4,-,-,-,-,1.511'
636,81946,2016,5,3,1.33,-,-,-,2,1,1,-,-,-,-,97'
637,85308,2016,33,31,0.77,-,2,-,2,2,10,-,-,-,-,2.584'
638,174818,2016,34,33,1.36,-,2,-,14,3,9,1,-,-,-,2.019'
639,179046,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,72438,2016,59,47,1.45,3,-,-,18,7,9,-,-,-,999',2.996'
641,191614,2017,37,37,2.35,4,7,-,1,3,14,1,-,-,814',3.257'
642,225693,2017,47,46,1.89,8,5,-,-,2,13,-,-,4,512',4.097'
