,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
285,186205,2014,37,17,1.00,-,-,1,5,2,4,-,-,-,-,1.182'
286,189595,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,203060,2014,31,26,1.23,-,1,-,4,1,2,-,-,-,-,2.014'
288,265645,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,270240,2014,2,-,,-,-,-,-,-,-,-,-,-,-,-
290,46741,2015,45,40,2.58,3,3,-,5,1,12,-,-,-,1.069',3.208'
291,33357,2015,34,34,1.74,1,2,-,1,-,8,1,1,-,2.923',2.923'
292,15951,2015,55,48,2.42,1,8,-,5,10,13,-,-,-,3.825',3.825'
293,345084,2015,43,43,1.79,3,2,-,-,1,7,-,-,-,1.289',3.866'
294,255755,2015,43,25,1.44,-,2,-,3,8,5,1,-,-,-,1.938'
295,156501,2015,27,26,2.04,2,-,-,-,-,6,-,-,-,1.170',2.340'
296,225335,2015,47,34,1.53,1,-,-,1,-,10,-,1,-,3.001',3.001'
297,84695,2015,81,73,1.59,7,1,-,3,5,14,-,1,-,892',6.242'
298,109038,2015,26,21,1.24,-,1,-,2,6,4,-,-,-,-,1.654'
299,220793,2015,32,32,1.94,1,2,-,2,4,1,-,-,-,2.679',2.679'
300,364258,2015,18,17,2.35,-,1,-,6,1,1,1,-,-,-,1.089'
301,101304,2015,36,21,1.67,-,-,1,-,2,4,-,-,-,-,1.800'
302,148666,2015,34,28,2.29,1,-,-,2,1,4,-,1,-,2.303',2.303'
303,34495,2015,41,19,2.53,1,2,-,9,3,1,-,-,-,1.068',1.068'
304,52920,2015,35,35,1.29,3,1,-,-,-,6,-,1,-,1.041',3.123'
305,32213,2015,40,40,1.48,2,1,-,-,1,7,-,-,-,1.808',3.616'
306,178984,2015,34,34,1.71,6,-,-,-,2,4,1,-,-,501',3.004'
