,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
211,234279,2014,15,15,1.13,4,1,-,2,7,4,-,-,1,267',1.069'
212,257139,2014,18,15,1.20,1,1,-,9,4,1,-,-,-,553',553'
213,259857,2014,12,3,2.00,1,-,-,2,1,-,-,-,-,94',94'
214,313968,2014,34,26,0.96,8,-,-,14,6,3,-,-,-,162',1.299'
215,15094,2014,35,22,1.41,12,3,-,8,7,1,-,-,1,113',1.351'
216,33833,2014,48,39,1.31,8,4,-,12,11,6,-,-,1,310',2.479'
217,52836,2014,52,35,1.69,7,1,-,14,12,7,-,-,-,277',1.939'
218,74306,2014,33,30,1.33,5,1,-,6,12,3,-,-,2,417',2.086'
219,77098,2014,3,2,1.50,-,-,-,1,1,1,-,-,-,-,67'
220,116019,2014,42,25,1.60,1,1,-,18,4,4,-,-,-,855',855'
221,160681,2014,20,20,2.25,11,-,-,-,13,5,-,-,1,139',1.531'
222,267247,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,347394,2014,28,28,1.50,10,2,-,2,8,1,-,-,1,236',2.356'
224,175256,2014,33,31,1.90,12,-,-,12,12,5,-,-,-,148',1.780'
225,315310,2014,34,34,2.29,13,11,-,1,14,5,-,-,-,222',2.881'
226,366278,2014,2,2,1.50,1,-,-,1,1,-,-,-,-,107',107'
227,14979,2014,24,20,0.85,-,3,-,6,9,4,1,-,-,-,1.157'
228,34953,2014,21,12,1.92,4,-,-,2,3,2,-,-,-,207',826'
229,45711,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,45717,2014,41,28,1.25,5,2,-,10,7,7,-,-,-,320',1.599'
231,52820,2014,38,32,1.50,6,2,-,17,11,-,-,-,-,232',1.394'
232,59585,2014,18,11,0.82,-,-,-,2,6,1,-,-,-,-,687'
233,68541,2014,1,-,,-,-,-,-,-,-,-,-,-,-,-
234,70513,2014,25,20,1.55,3,2,-,10,3,6,1,-,-,313',939'
235,74305,2014,30,26,1.42,3,1,-,3,4,5,-,-,1,676',2.028'
236,86217,2014,30,29,1.41,1,-,-,10,6,4,1,-,-,1.841',1.841'
